,Unnamed: 0,Name,TripAdvisorLink,status,pricestatus,adress,city,phone,email,website,rating,reviews,subcat,detail,Thuisbezorgd,TheFork
10,10,Venetië IJs,https://www.tripadvisor.com/Restaurant_Review-g188590-d17822036-Reviews-Venetie_IJs-Amsterdam_North_Holland_Province.html, Unclaimed,Italian,"Scheldestraat 68, 1078 GM Amsterdam The Netherlands",Amsterdam,['+31 6 47062675'],N,N,N,N,N,"['CUISINES']:['Italian'],",False,False
11,11,Coffeeshop Bagheera,https://www.tripadvisor.com/Restaurant_Review-g188590-d17536125-Reviews-Coffeeshop_Bagheera-Amsterdam_North_Holland_Province.html, Unclaimed,$$ - $$$,"Kloveniersburgwal 60a, 1012 CX Amsterdam The Netherlands",Amsterdam,['+31 20 627 0384'],['BagheeraCoffeeshopAmsterdam@gmail.com?'],http://amsterdamcoffeeshops.com/item/bagheera,N,N,N,"['PRICE RANGE']:['€6 - €30'],['CUISINES']:['American, Dutch, Moroccan, Mediterranean, European'],",False,False
12,12,Restaurant Pizzeria Lucca Due,https://www.tripadvisor.com/Restaurant_Review-g188590-d10134584-Reviews-Restaurant_Pizzeria_Lucca_Due-Amsterdam_North_Holland_Province.html, Claimed,$$ - $$$,"Haarlemmerstraat 130, 1013 EX Amsterdam The Netherlands",Amsterdam,['+31 20 622 0353'],['info@luccadue.nl?'],http://www.luccadue.nl/,4.5 ,277 reviews,"['Food']:['45'],['Service']:['45'],['Value']:['45'],","['PRICE RANGE']:['€12 - €25'],['Special Diets']:['Vegetarian Friendly, Vegan Options, Gluten Free Options'],['Meals']:['Lunch, Dinner'],['CUISINES']:['Italian, Pizza, Mediterranean, European'],['FEATURES']:['Takeout, Reservations, Outdoor Seating, Seating, Street Parking, Highchairs Available, Serves Alcohol, Full Bar, Wine and Beer, Accepts Mastercard, Accepts Visa, Digital Payments, Cash Only, Accepts Credit Cards, Table Service, Free Wifi'],",True,True
13,13,Caramello CBD CAFE,https://www.tripadvisor.com/Restaurant_Review-g188590-d17729740-Reviews-Caramello_CBD_CAFE-Amsterdam_North_Holland_Province.html, Claimed,$$ - $$$,"Vondelpark, 1016 AA Amsterdam The Netherlands",Amsterdam,['+31 20 262 0250'],['Caramellocbdcafe@gmail.com?'],http://caramellocbdcafe.nl/,N,N,N,"['PRICE RANGE']:['€8 - €14'],['CUISINES']:['American, Cafe, Healthy, Costa Rican'],['Meals']:['Breakfast, Lunch, Brunch'],",False,False
14,14,Liang Kee,https://www.tripadvisor.com/Restaurant_Review-g188590-d7920957-Reviews-Liang_Kee-Amsterdam_North_Holland_Province.html, Claimed,$$ - $$$,"Meeuwenlaan 225B, 1021 JE Amsterdam The Netherlands",Amsterdam,['+31 20 494 4180'],N,N,N,N,N,"['PRICE RANGE']:['€3 - €15'],['CUISINES']:['Chinese'],['Meals']:['Lunch, Dinner'],",False,False
15,15,Siam Corner,https://www.tripadvisor.com/Restaurant_Review-g188590-d17333334-Reviews-Siam_Corner-Amsterdam_North_Holland_Province.html, Claimed,$$ - $$$,"Claude debussylaan 33, 1082 MC Amsterdam The Netherlands",Amsterdam,['+31 6 81007409'],N,N,N,N,N,"['PRICE RANGE']:['€6 - €20'],['CUISINES']:['Thai'],['Meals']:['Lunch, Dinner'],",True,False
16,16,Cafetaria Berry,https://www.tripadvisor.com/Restaurant_Review-g188590-d12138461-Reviews-Cafetaria_Berry-Amsterdam_North_Holland_Province.html, Unclaimed,Bar,"Hagedoornweg 34-36, 1031 BS Amsterdam The Netherlands",Amsterdam,['+31 20 341 9716'],N,N,N,N,N,"['CUISINES']:['Bar, Fast Food, European, Pub'],",False,False
17,17,Shah-jahan,https://www.tripadvisor.com/Restaurant_Review-g188590-d1552511-Reviews-Shah_jahan-Amsterdam_North_Holland_Province.html, Claimed,$$ - $$$,"1e Anjeliersdwarsstraat 18, 1015 NR Amsterdam The Netherlands",Amsterdam,['+31 20 624 0122'],[],http://www.shah-jahan.nl/,4.5 ,275 reviews,"['Food']:['45'],['Service']:['45'],['Value']:['45'],['Atmosphere']:['45'],","['CUISINES']:['Indian, Asian, Balti'],['Special Diets']:['Vegetarian Friendly, Vegan Options, Gluten Free Options'],['Meals']:['Dinner, Late Night'],",False,True
18,18,La Estancia Argentinian Grill,https://www.tripadvisor.com/Restaurant_Review-g188590-d2621817-Reviews-La_Estancia_Argentinian_Grill-Amsterdam_North_Holland_Province.html, Claimed,$$ - $$$,"Reguliersdwarsstraat 86, 1017 BN Amsterdam The Netherlands",Amsterdam,['+31 20 622 0347'],[],http://www.laestanciagrillrestaurant.nl/#/WELCOME-01-00/,4.5 ,318 reviews,"['Food']:['45'],['Service']:['45'],['Value']:['40'],['Atmosphere']:['40'],","['CUISINES']:['Steakhouse, Barbecue, Argentinean, South American'],['Meals']:['Lunch, Dinner, Late Night'],['FEATURES']:['Takeout, Outdoor Seating, Full Bar, Reservations, Seating, Serves Alcohol, Accepts Mastercard, Table Service, Free Wifi'],",True,True
19,19,VISSER Amsterdam,https://www.tripadvisor.com/Restaurant_Review-g188590-d19708741-Reviews-VISSER_Amsterdam-Amsterdam_North_Holland_Province.html, Claimed,$$ - $$$,"Lindengracht 95 H, 1015 KD Amsterdam The Netherlands",Amsterdam,['+31 20 622 2716'],['info@visseramsterdam.nl?'],http://www.visseramsterdam.nl/,5.0 ,78 reviews,"['Food']:['50'],['Service']:['50'],['Value']:['50'],","['PRICE RANGE']:['€6 - €25'],['CUISINES']:['French, Dutch, European, Cafe, International, Pub'],['Special Diets']:['Vegetarian Friendly, Vegan Options'],",False,False
20,20,Graham's Kitchen,https://www.tripadvisor.com/Restaurant_Review-g188590-d10218656-Reviews-Graham_s_Kitchen-Amsterdam_North_Holland_Province.html, Claimed,$$$$,"Hemonystraat 38, 1074 BS Amsterdam The Netherlands",Amsterdam,['+31 20 364 2560'],N,N,5.0 ,455 reviews,"['Food']:['50'],['Service']:['50'],['Value']:['45'],","['PRICE RANGE']:['€40 - €70'],['CUISINES']:['European, Contemporary'],['Special Diets']:['Vegetarian Friendly, Gluten Free Options'],",False,True
21,21,Restaurant Bougainville,https://www.tripadvisor.com/Restaurant_Review-g188590-d13511379-Reviews-Restaurant_Bougainville-Amsterdam_North_Holland_Province.html, Claimed,$$$$,"Dam 27 In Hotel TwentySeven, 1012 JS Amsterdam The Netherlands",Amsterdam,['+31 20 218 2182'],N,N,5.0 ,154 reviews,"['Food']:['50'],['Service']:['50'],['Value']:['50'],","['PRICE RANGE']:['€65 - €125'],['CUISINES']:['International, European'],['Special Diets']:['Vegetarian Friendly, Vegan Options, Gluten Free Options'],",False,True
22,22,De Silveren Spiegel,https://www.tripadvisor.com/Restaurant_Review-g188590-d693419-Reviews-De_Silveren_Spiegel-Amsterdam_North_Holland_Province.html, Claimed,$$$$,"Kattengat 4-6 Centrum, 1012 SZ Amsterdam The Netherlands",Amsterdam,['+31 20 624 6589'],['info@desilverenspiegel.com?'],http://www.desilverenspiegel.com/,4.5 ,"1,339 reviews","['Food']:['45'],['Service']:['45'],['Value']:['45'],['Atmosphere']:['45'],","['PRICE RANGE']:['€34 - €90'],['CUISINES']:['Dutch, European'],['Special Diets']:['Vegetarian Friendly, Vegan Options, Gluten Free Options'],",False,True
23,23,Dope,https://www.tripadvisor.com/Restaurant_Review-g188590-d15614165-Reviews-Dope-Amsterdam_North_Holland_Province.html, Claimed,$$ - $$$,"Eerste van der Helststraat 66, 1072 NZ Amsterdam The Netherlands",Amsterdam,['+31 6 12291761'],N,N,5.0 ,122 reviews,"['Food']:['50'],['Service']:['50'],['Value']:['50'],","['PRICE RANGE']:['€8 - €16'],['CUISINES']:['Italian, Pizza, Neapolitan, Campania, Southern-Italian'],['Special Diets']:['Vegetarian Friendly, Vegan Options'],",False,False
24,24,Ashoka - Amsterdam Centrum,https://www.tripadvisor.com/Restaurant_Review-g188590-d4328782-Reviews-Ashoka_Amsterdam_Centrum-Amsterdam_North_Holland_Province.html, Claimed,$$ - $$$,"Spuistraat 3G, 1012 SP Amsterdam The Netherlands",Amsterdam,['+31 20 221 0446'],N,N,4.5 ,"1,381 reviews","['Food']:['45'],['Service']:['45'],['Value']:['45'],['Atmosphere']:['40'],","['PRICE RANGE']:['€17 - €28'],['CUISINES']:['Indian, Nepali'],['Special Diets']:['Vegetarian Friendly, Vegan Options, Gluten Free Options'],",True,True
25,25,Ta Toru,https://www.tripadvisor.com/Restaurant_Review-g188590-d17432976-Reviews-Ta_Toru-Amsterdam_North_Holland_Province.html, Claimed,$$ - $$$,"Nieuwezijds Voorburgwal 182I The Food Department, 1012 SJ Amsterdam The Netherlands",Amsterdam,['+31 6 41662846'],N,N,5.0 ,99 reviews,"['Food']:['45'],['Service']:['45'],['Value']:['45'],","['PRICE RANGE']:['€5 - €25'],['Special Diets']:['Vegetarian Friendly, Vegan Options'],['Meals']:['Lunch, Dinner, Brunch, Drinks'],['CUISINES']:['Asian, Indonesian, Malaysian, Fast Food, Polynesian'],['FEATURES']:['Seating, Table Service, Delivery, Takeout, Reservations, Wheelchair Accessible, Non-smoking restaurants'],",True,False
26,26,Tacos & Tequila,https://www.tripadvisor.com/Restaurant_Review-g188590-d17250311-Reviews-Tacos_Tequila-Amsterdam_North_Holland_Province.html, Claimed,$$ - $$$,"Nieuwezijds Voorburgwal 182 i The Food Department-Magna Plaza, 1012 SJ Amsterdam The Netherlands",Amsterdam,['+31 6 41213251'],N,N,5.0 ,221 reviews,"['Food']:['50'],['Service']:['50'],['Value']:['45'],","['PRICE RANGE']:['€4 - €8'],['CUISINES']:['Mexican'],['Special Diets']:['Vegetarian Friendly, Vegan Options, Gluten Free Options'],",True,False
27,27,Restaurant Adam,https://www.tripadvisor.com/Restaurant_Review-g188590-d7695005-Reviews-Restaurant_Adam-Amsterdam_North_Holland_Province.html, Claimed,$$$$,"Overtoom 515a, 1054 LH Amsterdam The Netherlands",Amsterdam,['+31 20 233 9852'],N,N,5.0 ,533 reviews,"['Food']:['45'],['Service']:['50'],['Value']:['45'],['Atmosphere']:['45'],","['CUISINES']:['European'],['Special Diets']:['Vegetarian Friendly, Vegan Options, Gluten Free Options'],['Meals']:['Dinner'],",False,False
28,28,Senses Restaurant,https://www.tripadvisor.com/Restaurant_Review-g188590-d3589045-Reviews-Senses_Restaurant-Amsterdam_North_Holland_Province.html, Claimed,$$$$,"Vijzelstraat 45, 1017 HE Amsterdam The Netherlands",Amsterdam,['+31 20 530 6266'],['welcome@sensesrestaurant.nl?'],http://www.sensesrestaurant.nl/,4.5 ,"2,064 reviews","['Food']:['45'],['Service']:['45'],['Value']:['45'],['Atmosphere']:['45'],","['PRICE RANGE']:['€35 - €81'],['Meals']:['Lunch, Dinner'],['CUISINES']:['International, European, Central European'],['FEATURES']:['Outdoor Seating, Seating, Serves Alcohol, Accepts Mastercard, Accepts Visa, Free Wifi, Reservations, Wheelchair Accessible, Accepts American Express, Accepts Credit Cards, Table Service'],",False,True
29,29,Restaurant Zaza's,https://www.tripadvisor.com/Restaurant_Review-g188590-d1014732-Reviews-Restaurant_Zaza_s-Amsterdam_North_Holland_Province.html, Claimed,$$$$,"Daniël Stalpertstraat 103, 1072 XD Amsterdam The Netherlands",Amsterdam,['+31 20 673 6333'],['info@zazas.nl?'],http://www.zazas.nl/,4.5 ,"1,952 reviews","['Food']:['45'],['Service']:['50'],['Value']:['45'],['Atmosphere']:['45'],","['PRICE RANGE']:['€50 - €80'],['CUISINES']:['International, European'],['Special Diets']:['Vegetarian Friendly, Vegan Options, Gluten Free Options'],",False,True
30,30,Tomo Sushi,https://www.tripadvisor.com/Restaurant_Review-g188590-d697038-Reviews-Tomo_Sushi-Amsterdam_North_Holland_Province.html, Claimed,$$ - $$$,"Reguliersdwarsstraat 131, 1017 BL Amsterdam The Netherlands",Amsterdam,['+31 20 528 5208'],['Tomosushinl@gmail.com?'],http://www.tomosushi.nl/,4.5 ,380 reviews,"['Food']:['45'],['Service']:['45'],['Value']:['40'],['Atmosphere']:['40'],","['PRICE RANGE']:['€4 - €41'],['CUISINES']:['Grill, Japanese, Sushi, Asian'],['Special Diets']:['Vegetarian Friendly, Gluten Free Options'],",False,True
31,31,Esther's Cookery,https://www.tripadvisor.com/Restaurant_Review-g188590-d12301154-Reviews-Esther_s_Cookery-Amsterdam_North_Holland_Province.html, Claimed,$$ - $$$,"46 Gerard Doustraat, 1072 VT Amsterdam The Netherlands",Amsterdam,['+31 6 27008399'],['esther@estherscookery.nl?'],http://www.kokenindepijp.nl/en/,5.0 ,74 reviews,"['Food']:['50'],['Service']:['50'],['Value']:['50'],","['CUISINES']:['Middle Eastern, International, Mediterranean, Fusion'],['Special Diets']:['Vegetarian Friendly, Gluten Free Options'],['Meals']:['Lunch, Dinner, Brunch, Late Night, Drinks'],",False,False
32,32,Cafe Sonneveld,https://www.tripadvisor.com/Restaurant_Review-g188590-d3292685-Reviews-Cafe_Sonneveld-Amsterdam_North_Holland_Province.html, Claimed,$$ - $$$,"Egelantiersgracht 72-74, 1015 RM Amsterdam The Netherlands",Amsterdam,['+31 20 423 4287'],['info@cafesonneveld.nl?'],http://www.cafesonneveld.nl/,4.5 ,"2,463 reviews","['Food']:['45'],['Service']:['45'],['Value']:['45'],['Atmosphere']:['40'],","['PRICE RANGE']:['€9 - €22'],['Special Diets']:['Vegetarian Friendly, Vegan Options, Gluten Free Options'],['Meals']:['Lunch, Dinner, Brunch, Drinks'],['CUISINES']:['Dutch, Bar, European, International'],['FEATURES']:['Reservations, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service, Street Parking, Wine and Beer, Digital Payments'],",False,False
33,33,Utrechtsedwarstafel,https://www.tripadvisor.com/Restaurant_Review-g188590-d1111389-Reviews-Utrechtsedwarstafel-Amsterdam_North_Holland_Province.html, Claimed,$$$$,"Utrechtsedwarsstraat 107-109, 1017 WD Amsterdam The Netherlands",Amsterdam,['+31 20 625 4189'],['reservations@utrechtsedwarstafel.com?'],https://www.utrechtsedwarstafel.com/english,5.0 ,338 reviews,"['Food']:['45'],['Service']:['45'],['Value']:['45'],['Atmosphere']:['45'],","['PRICE RANGE']:['€75 - €140'],['CUISINES']:['Dutch, European, International'],['Special Diets']:['Vegetarian Friendly, Gluten Free Options'],",False,False
34,34,Bhatti Pasal - Authentic Nepalese Food,https://www.tripadvisor.com/Restaurant_Review-g188590-d14765656-Reviews-Bhatti_Pasal_Authentic_Nepalese_Food-Amsterdam_North_Holland_Province.html, Claimed,$,"Voetboogstraat 23, 1012 XK Amsterdam The Netherlands",Amsterdam,['+31 20 623 1180'],['info@bhattipasal.nl?'],http://www.bhattipasal.nl/,5.0 ,843 reviews,"['Food']:['50'],['Service']:['45'],['Value']:['45'],","['PRICE RANGE']:['€4 - €19'],['CUISINES']:['Asian, Nepali, Healthy'],['Special Diets']:['Vegetarian Friendly, Vegan Options, Gluten Free Options'],",False,False
35,35,PIQNIQ,https://www.tripadvisor.com/Restaurant_Review-g188590-d2338581-Reviews-PIQNIQ-Amsterdam_North_Holland_Province.html, Claimed,$$ - $$$,"Lindengracht 59 hs, 1015 KC Amsterdam The Netherlands",Amsterdam,['+31 20 320 3669'],['info@piqniq.nl?'],http://www.piqniq.nl/,4.5 ,"1,832 reviews","['Food']:['45'],['Service']:['45'],['Value']:['45'],['Atmosphere']:['45'],","['PRICE RANGE']:['€3 - €12'],['Special Diets']:['Vegetarian Friendly, Vegan Options, Gluten Free Options'],['Meals']:['Breakfast, Lunch, Brunch'],['CUISINES']:['Dutch, Cafe, European, Soups, Central European, International'],['FEATURES']:['Takeout, Outdoor Seating, Seating, Street Parking, Wheelchair Accessible, Serves Alcohol, Wine and Beer, Accepts Mastercard, Accepts Visa, Digital Payments, Free Wifi, Gift Cards Available, Reservations, Accepts American Express, Accepts Credit Cards, Table Service, Family style'],",False,False
36,36,EN Japanese kitchen & sake bar,https://www.tripadvisor.com/Restaurant_Review-g188590-d7655576-Reviews-EN_Japanese_kitchen_sake_bar-Amsterdam_North_Holland_Province.html, Claimed,$$ - $$$,"Dusartstraat 53, 1072 HP Amsterdam The Netherlands",Amsterdam,['+31 20 470 3666'],['info@en-amsterdam.nl?'],http://www.en-amsterdam.nl/,4.5 ,196 reviews,"['Food']:['45'],['Service']:['45'],['Value']:['45'],['Atmosphere']:['45'],","['PRICE RANGE']:['€30 - €80'],['Special Diets']:['Gluten Free Options'],['Meals']:['Dinner'],['CUISINES']:['Japanese, Sushi, Asian'],['FEATURES']:['Reservations, Outdoor Seating, Seating, Street Parking, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts Mastercard, Accepts Visa, Accepts Credit Cards, Table Service'],",False,False
37,37,The Chicken Bar,https://www.tripadvisor.com/Restaurant_Review-g188590-d15262703-Reviews-The_Chicken_Bar-Amsterdam_North_Holland_Province.html, Claimed,$$ - $$$,"Voetboogstraat 6, 1012 XL Amsterdam The Netherlands",Amsterdam,['+31 20 776 4757'],['info@thechickenbar.nl?'],http://www.thechickenbar.nl/,4.5 ,"1,011 reviews","['Food']:['45'],['Service']:['50'],['Value']:['45'],","['PRICE RANGE']:['€7 - €20'],['CUISINES']:['European, Grill'],",True,True
38,38,Palmyra Syrian Restaurant,https://www.tripadvisor.com/Restaurant_Review-g188590-d17762209-Reviews-Palmyra_Syrian_Restaurant-Amsterdam_North_Holland_Province.html, Claimed,$$ - $$$,"Nieuwezijds Voorburgwal 53H, 1012 RD Amsterdam The Netherlands",Amsterdam,['+31 6 18434863'],['palmyrasyrianrestaurant@gmail.com?'],http://www.palmyrasyrianrestaurant.com/,5.0 ,136 reviews,"['Food']:['50'],['Service']:['50'],['Value']:['45'],","['PRICE RANGE']:['€15 - €30'],['CUISINES']:['Lebanese, Middle Eastern, Arabic, Assyrian'],['Special Diets']:['Vegetarian Friendly, Vegan Options'],",True,False
39,39,The Happy Bull,https://www.tripadvisor.com/Restaurant_Review-g188590-d10275170-Reviews-The_Happy_Bull-Amsterdam_North_Holland_Province.html, Claimed,$$ - $$$,"Hoofddorpweg 9, 1059 CS Amsterdam The Netherlands",Amsterdam,['+31 20 363 6606'],['info@thehappybull.nl?'],http://www.thehappybull.nl/#reservation,4.5 ,666 reviews,"['Food']:['45'],['Service']:['45'],['Value']:['45'],","['PRICE RANGE']:['€9 - €14'],['CUISINES']:['American, Bar, European, Street Food'],['Special Diets']:['Vegetarian Friendly, Vegan Options, Gluten Free Options'],",True,True
40,40,Gartine,https://www.tripadvisor.com/Restaurant_Review-g188590-d1014753-Reviews-Gartine-Amsterdam_North_Holland_Province.html, Claimed,$$ - $$$,"Taksteeg 7, 1012 PB Amsterdam The Netherlands",Amsterdam,['+31 20 320 4132'],['gartine@outlook.com?'],http://www.gartine.nl/,4.5 ,"1,192 reviews","['Food']:['45'],['Service']:['45'],['Value']:['45'],['Atmosphere']:['45'],","['PRICE RANGE']:['€3 - €11'],['Special Diets']:['Vegetarian Friendly, Vegan Options, Gluten Free Options'],['Meals']:['Breakfast, Lunch, Brunch, Drinks'],['CUISINES']:['French, Dutch, Cafe, International, European'],['FEATURES']:['Outdoor Seating, Seating, Cash Only, Gift Cards Available, Reservations, Table Service'],",False,False
41,41,Bistrot des Alpes,https://www.tripadvisor.com/Restaurant_Review-g188590-d7735788-Reviews-Bistrot_des_Alpes-Amsterdam_North_Holland_Province.html, Claimed,$$ - $$$,"Utrechtsedwarsstraat 141, 1017 WE Amsterdam The Netherlands",Amsterdam,['+31 20 620 7393'],['contact@bistrot-des-alpes.nl?'],http://www.bistrot-des-alpes.nl/,5.0 ,255 reviews,"['Food']:['45'],['Service']:['50'],['Value']:['45'],['Atmosphere']:['45'],","['CUISINES']:['French, European'],['Special Diets']:['Vegetarian Friendly, Vegan Options, Gluten Free Options'],['Meals']:['Dinner'],",False,False
42,42,Nour Kebab Restaurant,https://www.tripadvisor.com/Restaurant_Review-g188590-d12585326-Reviews-Nour_Kebab_Restaurant-Amsterdam_North_Holland_Province.html, Claimed,$$ - $$$,"Javastraat109, 1094 HC Amsterdam The Netherlands",Amsterdam,['+31 20 463 9786'],[],http://www.nourrestaurant-amsterdam.nl/,4.0 ,13 reviews,"['Service']:['45'],","['CUISINES']:['Middle Eastern'],['Meals']:['Lunch, Dinner'],['FEATURES']:['Reservations, Table Service, Seating'],",False,True
43,43,Restaurant Olijfje,https://www.tripadvisor.com/Restaurant_Review-g188590-d2044977-Reviews-Restaurant_Olijfje-Amsterdam_North_Holland_Province.html, Claimed,$$ - $$$,"Valkenburgerstraat 223D 1068 Gv, 1011 MJ Amsterdam The Netherlands",Amsterdam,['+31 20 330 4444'],['info@restaurantolijfje.nl?'],http://www.restaurantolijfje.nl/,4.5 ,752 reviews,"['Food']:['45'],['Service']:['50'],['Value']:['45'],['Atmosphere']:['40'],","['CUISINES']:['Mediterranean, European, Turkish, Middle Eastern'],['Special Diets']:['Vegetarian Friendly, Vegan Options, Gluten Free Options'],['Meals']:['Lunch, Dinner'],",False,True
44,44,Chez Lorraine,https://www.tripadvisor.com/Restaurant_Review-g188590-d12850098-Reviews-Chez_Lorraine-Amsterdam_North_Holland_Province.html, Claimed,$$ - $$$,"Tweede Laurierdwarsstraat 50, 1016 RC Amsterdam The Netherlands",Amsterdam,['+31 6 11850420'],['lorr.niss@gmail.com?'],http://www.chezlorraineamsterdam.com/,5.0 ,198 reviews,"['Food']:['50'],['Service']:['50'],['Value']:['50'],","['PRICE RANGE']:['€2 - €7'],['CUISINES']:['French, Cafe, European'],['Special Diets']:['Vegetarian Friendly, Vegan Options, Gluten Free Options'],",False,False
45,45,Eastwood Beer & Grill,https://www.tripadvisor.com/Restaurant_Review-g188590-d8457885-Reviews-Eastwood_Beer_Grill-Amsterdam_North_Holland_Province.html, Claimed,$$ - $$$,"Oosterdoksstraat 4 DoubleTree by Hilton Amsterdam Centraal Station, 1011 DK Amsterdam The Netherlands",Amsterdam,['+31 20 530 0800'],['amscs.info@hilton.com?'],http://eastwoodamsterdam.com/,4.5 ,383 reviews,"['Food']:['40'],['Service']:['45'],['Value']:['40'],","['CUISINES']:['American, Steakhouse, Bar, European'],['Special Diets']:['Vegetarian Friendly, Gluten Free Options'],['Meals']:['Dinner'],",False,False
46,46,Juice by Nature,https://www.tripadvisor.com/Restaurant_Review-g188590-d11688364-Reviews-Juice_by_Nature-Amsterdam_North_Holland_Province.html, Claimed,$$ - $$$,"Warmoesstraat 108, 1012 JJ Amsterdam The Netherlands",Amsterdam,['+31 20 341 9806'],['marketing@juicebynature.com?'],http://juicebynature.com/,5.0 ,154 reviews,"['Food']:['50'],['Service']:['50'],['Value']:['50'],","['PRICE RANGE']:['€2 - €12'],['Special Diets']:['Vegetarian Friendly, Vegan Options, Gluten Free Options'],['Meals']:['Breakfast, Lunch, Brunch'],['CUISINES']:['Cafe, Healthy, International, Contemporary'],['FEATURES']:['Delivery, Takeout, Seating, Free Wifi, Accepts Credit Cards, Digital Payments, Gift Cards Available'],",True,False
